userName,content,score,at
مستخدم Google,التوصيل ما يجي علا المكان توترز ايريح البال نجمه اهواي,1,2025-07-23 21:54:50
مستخدم Google,عن جد ولا غلطة,5,2025-07-23 21:54:46
مستخدم Google,روووعه,5,2025-07-23 21:23:50
مستخدم Google,اخيس موقع في العالم,1,2025-07-23 20:54:52
مستخدم Google,البرنامج صار مدة ميشتغل عندي,3,2025-07-23 20:33:36
مستخدم Google,من اجمل التطبيقات المستخدمة واسرع البرامج وانظف اكل يا توصيله من خلال طلبات,5,2025-07-23 20:20:45
مستخدم Google,جيدة لا مشكلة التوصيل يتأخر بين 5 أو 10 دقائق,3,2025-07-23 20:06:12
مستخدم Google,ممتاز,5,2025-07-23 20:05:55
مستخدم Google,التوصيل والضريبة مبالغهم كتيرة,1,2025-07-23 19:54:51
مستخدم Google,ممتازه جدا,5,2025-07-23 19:43:00
مستخدم Google,من خلال تجربتي هو فعلا تطبيق رائع وسهل وبسيط في الشراء ولكن عندى ملحوظة صغيرة.. لماذا لاتوجد بعض المحلات التجارية اكون حابب لو كل المحلات التجارية تكون موجودة علي التطبيق وشكرا,5,2025-07-23 18:54:42
مستخدم Google,فخامه,5,2025-07-23 18:24:42
مستخدم Google,رائع,5,2025-07-23 18:20:49
مستخدم Google,ممتازين,5,2025-07-23 15:57:41
مستخدم Google,لا بقلا,2,2025-07-23 15:50:12
مستخدم Google,جميل جداً جداً يأتي قسام بخصومات كثيره جداً وسحب على سيارة,5,2025-07-23 15:02:40
مستخدم Google,كوبونات مش شغاله عيب تضحكو علينا,1,2025-07-23 13:54:14
مستخدم Google,لا يوجد اي مبرر لوضع رسوم الخدمة وتعميمها على كل المنتجات يجب أن تلغى والاكتفاء برسوم التوصيل فقط.,1,2025-07-23 13:45:28
مستخدم Google,غالي شويه,5,2025-07-23 13:10:43
مستخدم Google,😘😘😘😍,5,2025-07-23 12:46:44
مستخدم Google,❤️❤️,5,2025-07-23 12:41:00
مستخدم Google,very good application,5,2025-07-23 12:04:15
مستخدم Google,برنامج مساعد جدا في ترتيب الاكل اسعاره مناسبه اكثر من باقي البرامج والحلو بي خصوماته متخلص عات اديكم ولله ع الترتيب هذا,5,2025-07-23 11:58:36
مستخدم Google,راءع,4,2025-07-23 11:45:38
مستخدم Google,زي الفل 👍,5,2025-07-23 09:27:45
مستخدم Google,تجربة رائعة حقا,5,2025-07-23 08:10:20
مستخدم Google,الافضل,5,2025-07-23 08:01:29
مستخدم Google,بقالي فترة كويسه مستخدمه طلبات و بصراحه ممتاز بس في تعليق صغير .. انا طلبت اوردر متاخر و جالي علي 2 صباحا و خلاص المفروض تمام ابص الاقي فوق الاربع اتصالات الساعه 3ونص عشان التقييم ... طيب دا ينفع و كلها ارقام مختلفه اتصاللت صحت حرفيا البيت .. مردتش مره خلاص لا دا في الحاح اوفر ف الاتصالات😤,4,2025-07-23 04:39:15
مستخدم Google,بيسهل التسوق,5,2025-07-23 03:57:12
مستخدم Google,فول اومكفول اوحسن من أم الول,5,2025-07-23 03:56:29
مستخدم Google,كثير بجنننننننننننننننننن رائع,5,2025-07-23 02:20:22
مستخدم Google,جميل,5,2025-07-23 02:01:15
مستخدم Google,حلو احلا مطعم,5,2025-07-23 01:47:05
مستخدم Google,سيئ جدا و توصيل غالي كثير زائد رسوم خدمه زائد ضريبه مبيعات,1,2025-07-23 01:13:40
مستخدم Google,بجنن,5,2025-07-23 00:37:28
مستخدم Google,ممتارز,5,2025-07-23 00:28:54
مستخدم Google,زفت وقطران وزبالة انا بعانى بقى لى شهر علشان تعرف تضيف اى منتج فى السلة مفيش اى استجابة فالحين بس تخصمو الاشتراك كل شهر على ايه اصلا والبرنامج اساس منظر على الموبيل لا تستطيع عمل اى اوردر نهائي من اى محل لو فيه اقل من النجمة كنت عملتها قسما بالله ايه الارف ده,1,2025-07-22 23:24:22
مستخدم Google,رائعه,5,2025-07-22 23:21:33
مستخدم Google,افشل تطبيق صار ساعه اطلب وماكو شي,1,2025-07-22 23:10:35
مستخدم Google,جيد,5,2025-07-22 23:03:27
مستخدم Google,شركة محترمة,5,2025-07-22 22:41:08
مستخدم Google,في مشكله لازم رقم الشقه,3,2025-07-22 22:29:21
مستخدم Google,برنامج رائع,5,2025-07-22 22:11:52
مستخدم Google,مميزة,5,2025-07-22 21:56:45
مستخدم Google,برنامج رائع,5,2025-07-22 21:55:33
مستخدم Google,تطبيق ممتاز,5,2025-07-22 21:41:53
مستخدم Google,جدا جدا جدا جدا جيد,5,2025-07-22 21:03:43
مستخدم Google,والله نصبين وحرميه ونا مسحتو اصلا مش هاتعامل معاهم تاني,1,2025-07-22 20:44:00
مستخدم Google,ممتاز,5,2025-07-22 19:41:42
مستخدم Google,تجربة التوصيل جيدة,5,2025-07-22 19:34:21
مستخدم Google,نظافه الأكل وسرعه في التوصيل,5,2025-07-22 19:12:02
مستخدم Google,top 1,5,2025-07-22 18:35:30
مستخدم Google,يلاه طلبات بدنا نشوف تعليقات حلوه حتى نقدر نطلب منكم بكل امان واريحيه 😍😂,5,2025-07-22 18:23:07
مستخدم Google,واو,5,2025-07-22 17:33:16
مستخدم Google,أحسن موقع اقدر اشتري منه الطلابات و الأكل دايما بيجي سخن,5,2025-07-22 17:03:49
مستخدم Google,رائع جدا جدا,5,2025-07-22 14:26:32
مستخدم Google,رائع,5,2025-07-22 14:20:07
مستخدم Google,تطبيق سيء جدا ليس لديهم تواصل ومعامله مع الزبون,1,2025-07-22 13:52:00
مستخدم Google,بدنا نربح البي أم عشان يزول الهم هههههههه نتمنى لكم المزيد من التقدم والتوفيق,5,2025-07-22 12:43:45
مستخدم Google,تطبيق رائع ماشاء الله تبارك الله,5,2025-07-22 11:55:07
مستخدم Google,جامد,5,2025-07-22 10:55:57
مستخدم Google,good,5,2025-07-22 09:50:17
مستخدم Google,تطبيق ولا اروع حتا توصيل مجاني ولباب بيتك شكرا,5,2025-07-22 05:25:59
مستخدم Google,ممتاز,5,2025-07-22 03:57:40
مستخدم Google,نصيحه يخوان لا حدا يوصي طريقه الفيزه بخصمو فلوسك وبسرقو طلب وبعديها بحكولك 60 دقيقه ومنرجعلك المبلغ وبروحن عليكو,1,2025-07-22 03:48:56
مستخدم Google,جيد جدا يا جماعه,5,2025-07-22 03:15:19
مستخدم Google,ممتاز,5,2025-07-22 02:51:56
مستخدم Google,الطتبيق حلو جدا و يوضل اكل في تقريبا نصف ساعة او 45 دقيقة فقط,5,2025-07-22 02:31:19
مستخدم Google,نفسي اشارك و يستاهل١٠ من١٠لان جميل وايستاهل,5,2025-07-22 01:46:50
مستخدم Google,جميل جدا والله,5,2025-07-22 01:35:53
مستخدم Google,التوصيل سريع و ممتاز الصراحة من افضل التطبيقات الي استخدمتها,5,2025-07-22 00:47:28
مستخدم Google,ممتازه,5,2025-07-21 23:51:33
مستخدم Google,افضل تطبيق,5,2025-07-21 23:44:26
مستخدم Google,سىء ومفيش احترام ف التعامل من قبل موظف التسليم لا انصح بتحميله,5,2025-07-21 22:49:23
مستخدم Google,رسوم مرتفعه,1,2025-07-21 22:44:35
مستخدم Google,احترام المواعيد وجوده عاليه,5,2025-07-21 21:58:51
مستخدم Google,حلو كتير وسهل,5,2025-07-21 21:56:33
مستخدم Google,ممتاز جدا,5,2025-07-21 21:41:50
مستخدم Google,برنامج رائع يستحق ١٠نجوم والله,5,2025-07-21 21:36:54
مستخدم Google,ممتاز,5,2025-07-21 21:22:54
مستخدم Google,ممتاز,5,2025-07-21 21:01:01
مستخدم Google,جيدة,5,2025-07-21 20:58:31
مستخدم Google,ممتاز,5,2025-07-21 20:47:58
مستخدم Google,🫵💋💋💋💋,5,2025-07-21 20:44:29
مستخدم Google,التجربه حلوه حيل ومتوفر عندهم كل شي اكل ولوازم البيت و الصحه و التجميل 💄 والتوصيل سريع بس مو حيل يعني ٣٠ دقيقه او ٤٠ بس مناسب,4,2025-07-21 20:27:17
مستخدم Google,كنت من محبيه لكن بعد فتره خرب البرنامج كمت ما اكدر اطلب اي شيء,1,2025-07-21 20:16:06
مستخدم Google,exlant,5,2025-07-21 19:15:15
مستخدم Google,ممتاز,5,2025-07-21 19:07:34
مستخدم Google,سهل وسريع وامن👌💕💕💕☺️😉,5,2025-07-21 18:28:12
مستخدم Google,ممتاز,5,2025-07-21 18:12:19
مستخدم Google,تجربه سيئه تطبيق ليس به مصدقيه دفع اكثر من الفاتوره وعامل توصيل اسلوبه سيئ سابقا ومنتجات اوشكت علي الانتهاء بالصلاحيه وليس هناك تواصل بعد تقديم شكوى بالتقييم والمنتجات غير نظيفه بالمره وسوء تخزين,1,2025-07-21 17:58:59
مستخدم Google,ممتاز,4,2025-07-21 17:46:17
مستخدم Google,✨️منقذ,5,2025-07-21 17:21:36
مستخدم Google,جيدة,4,2025-07-21 16:47:18
مستخدم Google,احسن تطبيق توصيل و السواق محترمين و التوصيل سريع و سعر التوصيل ارخص من باقي التطبيقات,5,2025-07-21 16:44:03
مستخدم Google,تطبيق جيد وسهل الاستخدام شكرا على مجهوداتكم 👌🏻,5,2025-07-21 16:34:18
مستخدم Google,برنامج معفن اذا عندك مشكلة ما تقدر تتوصل مع حد لا في أرقام تواصل او التحدث من خلال الشات,1,2025-07-21 15:03:25
مستخدم Google,انا شغال طلبات,5,2025-07-21 14:05:25
مستخدم Google,ممتاز,5,2025-07-21 13:35:56
مستخدم Google,ما شاء الله تطبيق مميز وخدمة توصيل سريعه,5,2025-07-21 13:28:46
مستخدم Google,جيد جدأ,5,2025-07-21 13:12:28
مستخدم Google,ممتازه,5,2025-07-21 13:10:11
مستخدم Google,👍👍👍👍👍👍تطبيق رائع,5,2025-07-21 12:15:03
مستخدم Google,مش فاتح كل المطاعم فى كل المناطق مش عارف ليه,4,2025-07-21 12:06:50
مستخدم Google,شكرا كتير,5,2025-07-21 10:26:11
مستخدم Google,ممتاز,5,2025-07-21 10:20:05
مستخدم Google,فاشل + فاشل + انكس + انكسسس+ اخراااا تطبيقققققق ماكو هيج شي جوعانههههه وكتتتتتتتتت رقمممممممممممم🤨🤨🤨🤨,1,2025-07-21 06:53:08
مستخدم Google,صعوبة في تنفيذ،طلبي,1,2025-07-21 05:39:41
مستخدم Google,زاكي اكلكو بس في قطع تكون ناقصه,5,2025-07-21 04:53:22
مستخدم Google,بصراحه التطبيق جميل قوي وفي مطاعم جميله قوي جربت من عند اول تجربه كانت مجاني بسرعه التطبيق جميل قوي قوي,4,2025-07-21 04:46:04
مستخدم Google,تجربه ممتازه,5,2025-07-21 02:56:08
مستخدم Google,ممتاز,5,2025-07-21 02:45:31
مستخدم Google,جدآ حلو وجميل وسريع,5,2025-07-21 02:43:04
مستخدم Google,ياريت خدمه التوصيل تبقي اقل من كده,5,2025-07-21 02:37:55
مستخدم Google,كلش حلو,5,2025-07-21 02:13:35
مستخدم Google,ممتاز,5,2025-07-21 01:11:23
مستخدم Google,ممتازه جدا,5,2025-07-21 00:48:01
مستخدم Google,تطبيق سي طلبت طلب أعطاني نص ساعة بس بعد نص ساعة بيقول انه باقي له نص ساعة,1,2025-07-21 00:43:57
مستخدم Google,♥️,5,2025-07-21 00:22:39
مستخدم Google,حقيقة رائعين و توصيل سريع و معامله جيده,5,2025-07-21 00:08:47
مستخدم Google,تطبيق عجيب وسريع بس احتاج لتعديل البرو تكون الطلبات بدون حد ادني,5,2025-07-20 23:46:52
مستخدم Google,الطلبات ف اسرع وقت بتوصل,5,2025-07-20 22:59:10
مستخدم Google,بجد يعنى مسهلك الحوار بطريقه فوق الاوفر ومش حاطط انه بعد ما يوصل يقولك ضرايب لا زى ما مكتوب زى ما هتدفع وكمان القسائم بتساعد,5,2025-07-20 22:58:56
مستخدم Google,رائع,5,2025-07-20 22:58:30
مستخدم Google,ممتاز,5,2025-07-20 21:38:50
مستخدم Google,ممتاز ولكن الطلبات بتيجي متبهدله شويه ط,5,2025-07-20 21:08:56
مستخدم Google,ممتاز,5,2025-07-20 20:55:19
مستخدم Google,الصخومات ولا خلطه,5,2025-07-20 20:45:32
مستخدم Google,amazing,5,2025-07-20 20:38:50
مستخدم Google,ممتاز وصحي,5,2025-07-20 20:16:58
مستخدم Google,التطبيق كل يشير صاير ممل صار له فتره جدي من اخر تحديث وهو لا يطاق لازم تشوفون له حل لان بهااطريقة لايمكن الاستخدام,1,2025-07-20 20:09:26
مستخدم Google,خيارا المطاعم قليلة و الأسعار غالية و بطلع اعلانات كتيييرة على تطبيق hitv و هاد هو السبب الرئيسي,1,2025-07-20 20:04:07
مستخدم Google,سهل وبسيط,3,2025-07-20 19:30:00
مستخدم Google,جيد جدا,5,2025-07-20 19:11:02
مستخدم Google,تطبيق جميل وسريع والتعامل مع المندوب فى منتهى الاحترام,5,2025-07-20 18:36:45
مستخدم Google,تطبيق جميل بس يريت التوصيل تخفضوا سعره,5,2025-07-20 18:21:21
مستخدم Google,جيد جدااا وسريع احببتهم يستحقون 5 نجمات وفيه كل المطاعم والسوبر ماركت وكل شي 💞💞🥹,5,2025-07-20 15:25:53
مستخدم Google,تحفه الصراحه جدا جدا جدا وبيحي كل حاجه علي الوقت والعروض تحفهه,5,2025-07-20 15:09:52
مستخدم Google,جدا رائع,5,2025-07-20 15:07:53
مستخدم Google,التوصيل غالي وفوگاها ما يوصل لكل المناطق بس المناطق القريبه الأفضل اروح اتسوگ بنفسي احسن,1,2025-07-20 15:00:58
مستخدم Google,طلبت نص دجاجة جابو فخذ بس، صورت لهم ورجعوا فلوسها في التطبيق بعدين سوو لي حضر ما اقدر اطلب تواصلت مع خدمة العملاء قالوا ما يقدرون يشيلون الحضر والفلوس للحين في التطبيق,1,2025-07-20 13:56:39
مستخدم Google,التطبيق فنان,5,2025-07-20 13:47:07
مستخدم Google,ممتازة,5,2025-07-20 12:47:08
مستخدم Google,. تطبيق يعلق وايد ما يستاهل و يوم استخدمت القسيمة عند دفع شالوها و خذو فلوس ما استفدت و ضيف عليها يقول عرض دينار يوم ادش الاقيه نفس سعره طبيعي دينارين او ثلاث وين العرض حتى لو غيرت منطقة نفس شي,1,2025-07-20 12:41:37
مستخدم Google,شركه نصابه وبتعمل خصم قسائم شراء وهميه,1,2025-07-20 11:42:32
مستخدم Google,ممتاز,4,2025-07-20 11:28:57
مستخدم Google,شكرا طلبات على سرعه التوصيل والعروض والاسعار واختيار الكباتن المناسبين للعمل,5,2025-07-20 09:14:03
مستخدم Google,مش احسن حاجة,3,2025-07-20 08:12:15
مستخدم Google,التطبيق خصم مبلغ من حسابي البنكي بدون اذن و كل ما اتواصل معاهم يقولولي بنقدم بلاغ و راح يتواصلو معك معك بعد 24 ساعه و للحين محد رجع المال و شكل المبلغ م راح يرجع,1,2025-07-20 07:01:18
مستخدم Google,سريع بس اسلوب المندوبين وحش,5,2025-07-20 05:49:11
مستخدم Google,تجربه سيئه جدا عروض كاذبه وقسائم شراء مش شغاله وخدمه عملا زي الزفت,1,2025-07-20 05:32:55
مستخدم Google,ما انصح,1,2025-07-20 03:43:04
مستخدم Google,ممتاز,5,2025-07-20 02:20:13
مستخدم Google,الاهم بارك شكرا لكم,5,2025-07-20 02:11:05
مستخدم Google,تطبيق رائع,5,2025-07-20 02:10:30
مستخدم Google,جيد جدا التطبيق,5,2025-07-20 01:33:08
مستخدم Google,جيد,5,2025-07-20 01:12:47
مستخدم Google,تطبيق راءع,5,2025-07-20 00:31:06
مستخدم Google,اسعار الاكل غير اسعار اللي مطاعم عرضها عندهم,1,2025-07-20 00:22:18
مستخدم Google,كلشي بالبرنامج ممتاز واكثر من رائع,5,2025-07-20 00:13:16
مستخدم Google,ممتاز,5,2025-07-20 00:07:13
مستخدم Google,اسعار رخيصة و توصيل سريع تطبيق متكامل شكرا للمصممين 🥰🥰,5,2025-07-19 23:18:00
مستخدم Google,عند الطلب يقول ادخل الرمز ولم يصلني الرمز بعد,2,2025-07-19 22:46:03
مستخدم Google,جيد جدا لكن مطاعم محدودة,4,2025-07-19 22:33:47
مستخدم Google,المشكله ان رسوم التوصيل والخدمه غاليين جدا لاكن كل حاجه تمام,3,2025-07-19 22:27:54
مستخدم Google,ممتازه,5,2025-07-19 22:09:16
مستخدم Google,نطالب بتوفير الخدمه في منطقة البوعيثه / الدوره,5,2025-07-19 22:06:43
مستخدم Google,ممتاز,5,2025-07-19 21:53:49
مستخدم Google,جيدة جدا,5,2025-07-19 21:48:33
مستخدم Google,افضل برنامج,5,2025-07-19 21:33:16
مستخدم Google,ممتاز,5,2025-07-19 21:17:39
مستخدم Google,ممتاز,5,2025-07-19 21:15:26
مستخدم Google,هل يجب ان اشتري هاتف اخر لتنزيل هذا التطبيق,1,2025-07-19 21:13:41
مستخدم Google,تمام,5,2025-07-19 21:04:44
مستخدم Google,ممتازين كوادر وادارة ومتابعه بالتوفيق,5,2025-07-19 20:58:56
مستخدم Google,عندي حاجه غريبه جدا الابلكيشن طلبات بس مش في اي ابلكيشن ثاني ثاني موبايل يعمل في نفس الحركه نص الشاشه لاسفل ما بيشتغلش خالص مع طلبات بس يعني نص الشاشه السفلي في برنامج طلبات بيهنج وحضرتك بتقول لي شكرا شكرا على ايه,5,2025-07-19 20:39:30
مستخدم Google,خدمه ممتازه ، الحاجه بتوصل بسرعه،المناديب طريقتهم كويسه جدا و بجد يستاهل اكتر من خمس نجوم,5,2025-07-19 19:44:06
مستخدم Google,نزلو البرنامج تستفيدو منه ومن العروض معهم,5,2025-07-19 18:57:11
مستخدم Google,سريع وكل الموصلين محترمين,5,2025-07-19 18:56:06
مستخدم Google,رائع و سريع,5,2025-07-19 18:25:49
مستخدم Google,ممتاز,4,2025-07-19 17:36:37
مستخدم Google,ممتاز,5,2025-07-19 17:34:26
مستخدم Google,زفت بجد ومش عاوزه تقبل الطلب,1,2025-07-19 17:00:09
مستخدم Google,مريح هذا التطبيق احبه سهل الاستخدام وفعال,4,2025-07-19 16:47:42
مستخدم Google,جيد,5,2025-07-19 16:19:24
مستخدم Google,غير متوفر في منطقتي,1,2025-07-19 15:49:04
مستخدم Google,حلو اوى,5,2025-07-19 15:42:54
مستخدم Google,رائع وجميل جدا جدا وطلب يوصل في الوقت المناسب دائما اقيمه خمس نجوم لانه يستاهل صج,5,2025-07-19 15:42:29
مستخدم Google,راأع وأنصح به,5,2025-07-19 14:10:14
مستخدم Google,اروع من رائع,5,2025-07-19 14:01:47
مستخدم Google,عاشت ايدك,5,2025-07-19 13:15:43
مستخدم Google,ممتاز,5,2025-07-19 12:10:15
مستخدم Google,تطبيق رائع وخدمه ممتازه,5,2025-07-19 11:57:32
مستخدم Google,برنامج رائع,5,2025-07-19 11:51:50
مستخدم Google,حراميه بمعنى الكلمه.. انتبهوا لما تشتروا اغراض بعض الاغراض تكون ناقصه وما يخبروك انها ما موجوده الا اذا انت اكتشفت بنفسك. دووم تصير معي ولما اتصلت فيهم رسلوا رساله كله خرطي وما رجعوا لي المبلغ. راح اجذف البرنامج ما يستاهلوا حتي ربع نجمه.,1,2025-07-19 11:08:33
مستخدم Google,سهل وسريع,5,2025-07-19 10:25:35
مستخدم Google,متجر ممتاز وخصم حقيقي ومنتجات جيده,5,2025-07-19 09:50:12
مستخدم Google,برنامج مميز,5,2025-07-19 09:45:23
مستخدم Google,التطبيق رائع وسهل و سريع,5,2025-07-19 09:19:48
مستخدم Google,برنامج ممتاز,5,2025-07-19 09:04:50
مستخدم Google,جيد جدا في كل شي,5,2025-07-19 09:00:44
مستخدم Google,جيده,5,2025-07-19 05:47:50
مستخدم Google,مرتب,5,2025-07-19 03:44:53
مستخدم Google,تطبيق لا يحترم العملاء كثير عليه نجمه لا انصح احد به ؛ شوفوا البديل افضل وارقى,1,2025-07-19 03:27:21
مستخدم Google,سيء جدا,1,2025-07-19 01:36:20
مستخدم Google,اسعاركم شوي غاليه,1,2025-07-18 23:48:31
مستخدم Google,تحفه,5,2025-07-18 21:47:03
مستخدم Google,الخدمه ممتاز واصنف خدماتكم رائعه وفي جميع انحاء الدوله,5,2025-07-18 21:41:53
مستخدم Google,جيد جدا,5,2025-07-18 21:35:39
مستخدم Google,Great 👍🏻,5,2025-07-18 21:27:19
مستخدم Google,جدا رائع ومفيد,5,2025-07-18 21:19:11
مستخدم Google,ممتاز,5,2025-07-18 20:51:55
مستخدم Google,جميل,5,2025-07-18 20:50:29
مستخدم Google,ممتاز ٠دان,5,2025-07-18 20:36:41
مستخدم Google,جيد,5,2025-07-18 20:29:47
مستخدم Google,جامد,5,2025-07-18 20:24:53
مستخدم Google,ممتاز,5,2025-07-18 18:33:18
مستخدم Google,تجربة فاشلة الصراحة وصلني الطلب بي نقص و كلش تأخر,1,2025-07-18 18:01:53
مستخدم Google,ممتاز جدا,5,2025-07-18 17:07:11
مستخدم Google,جوكلت سراي وصل الطلب مقلوب وغير لذيذ يعني قيمهم 2من خمسه كلش زياده عليهم التوصيل جيد,2,2025-07-18 17:02:54
مستخدم Google,جوعان و فش غير مطاعم فلافل,1,2025-07-18 16:43:15
مستخدم Google,خدمة.ممتازه,5,2025-07-18 16:29:41
